id,sourceGroup,ownerBucket,cutoverRisk,decisionStatus,source,proposedTarget,recommendedAction,reason,evidence,notes
AUTHOR-011,author_archive,Content/SEO,medium,needs_decision,/author/k_matiri/,/authors/k_matiri,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-012,author_archive,Content/SEO,medium,needs_decision,/author/k_matiri/page/2/,/authors/k_matiri,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-013,author_archive,Content/SEO,medium,needs_decision,/author/kendi/,/authors/kendi,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-014,author_archive,Content/SEO,medium,needs_decision,/author/kendi/page/2/,/authors/kendi,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-015,author_archive,Content/SEO,medium,needs_decision,/author/kiuta/,/authors/kiuta,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-016,author_archive,Content/SEO,medium,needs_decision,/author/michael/,/authors/michael,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-017,author_archive,Content/SEO,medium,needs_decision,/author/swambi/,/authors/swambi,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-018,author_archive,Content/SEO,medium,needs_decision,/author/timo/,/authors/timo,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-019,author_archive,Content/SEO,medium,needs_decision,/author/vicmuia/,/authors/vicmuia,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-020,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/,/authors/wakilishaji,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-021,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/page/2/,/authors/wakilishaji,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-022,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/page/3/,/authors/wakilishaji,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-023,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/page/4/,/authors/wakilishaji,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-024,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/page/5/,/authors/wakilishaji,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-025,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/page/6/,/authors/wakilishaji,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-026,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/page/7/,/authors/wakilishaji,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-027,author_archive,Content/SEO,medium,needs_decision,/author/wakilishaji/page/8/,/authors/wakilishaji,"After parent author mapping is approved, collapse paginated archive to the canonical mapped author destination or retire with parent archive.",Paginated legacy author archive has no confirmed matching React author route.,reports/wordpress-author-static-cutover-policy.json,
AUTHOR-028,author_archive,Content/SEO,medium,needs_decision,/author/wangari/,/authors/wangari,"Map WordPress username slug to the correct React author slug, then approve a 302 redirect only after the target route exists.",Legacy author archive has no confirmed matching React author route. Confirm slug mapping or retire.,reports/wordpress-author-static-cutover-policy.json,
STATIC-MANUAL-029,static_route,Product,medium,needs_decision,/corrections/,/corrections,"Confirm whether this static route should be rebuilt, redirected to the closest React destination, or intentionally retired.",Legacy corrections page can map to React corrections route if present. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
STATIC-MANUAL-030,static_route,Product,medium,needs_decision,/events/,/events,"Confirm whether this static route should be rebuilt, redirected to the closest React destination, or intentionally retired.",Legacy events page can map to React events route if present. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
STATIC-MANUAL-031,static_route,Product,medium,needs_decision,/faq/,/faq,"Confirm whether this static route should be rebuilt, redirected to the closest React destination, or intentionally retired.",Legacy FAQ page can map to React FAQ route if present. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
STATIC-MANUAL-032,static_route,Product,medium,needs_decision,/methodology/,/methodology,"Confirm whether this static route should be rebuilt, redirected to the closest React destination, or intentionally retired.",Legacy methodology page can map to React methodology route if present. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
STATIC-MANUAL-033,static_route,Product,medium,needs_decision,/news-resources/,/magazine,"Confirm whether this static route should be rebuilt, redirected to the closest React destination, or intentionally retired.",Legacy news resources page can map to React magazine route if present. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
STATIC-MANUAL-034,static_route,Product,medium,needs_decision,/venues/,/venues,"Confirm whether this static route should be rebuilt, redirected to the closest React destination, or intentionally retired.",Legacy venues page can map to React venues route if present. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
AUTH-PRODUCT-001,account_or_user_route,Product/auth,high,needs_product_decision,/account/,/account,"Decide whether React account/auth replaces this route. If not ready, retire or redirect to the current sign-in/account destination after product approval.",Legacy account route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
AUTH-PRODUCT-002,account_or_user_route,Product/auth,high,needs_product_decision,/my-account/,/account,"Decide whether React account/auth replaces this route. If not ready, retire or redirect to the current sign-in/account destination after product approval.",Legacy WooCommerce account route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
AUTH-PRODUCT-003,account_or_user_route,Product/auth,high,needs_product_decision,/my-library/,/library,"Decide whether user library exists in React. If not ready for cutover, retire or route to signed-in account area only after auth QA.",Legacy user library route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
AUTH-PRODUCT-004,account_or_user_route,Product/auth,high,needs_product_decision,/my-top-10/,/my-top-10,"Decide whether this user feature exists in React. If not, retire or preserve as intentional 404.",Legacy user top 10 route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
AUTH-PRODUCT-005,account_or_user_route,Product/auth,high,needs_product_decision,/order-tracking/,/account,Retire WooCommerce order tracking unless a replacement commerce/order feature exists.,Legacy WooCommerce order tracking route needs product decision before cutover. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
AUTH-PRODUCT-006,account_or_user_route,Product/auth,high,needs_product_decision,/settings/,/settings,"Decide whether React user settings replaces this route. If not ready, keep blocked or route to account after auth QA.",Legacy settings route needs auth/product confirmation before cutover. Target route was not found in current React prerender output.,reports/wordpress-author-static-cutover-policy.json,
MISSING-ARTICLE-001,legacy_article_missing_react_route,Content/SEO,medium,needs_content_decision,/claim-your-name/,/magazine/claim-your-name,"Import the missing page/article, redirect it to the closest relevant React destination, preserve static HTML, or intentionally 404 it.","Legacy article/page slug has no matching React route. Decide whether to import, redirect elsewhere, preserve static HTML, or intentionally 404.",reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-002,legacy_section_archive,Product/content,medium,needs_product_decision,/album-reviews/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy album reviews archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-003,legacy_section_archive,Product/content,medium,needs_product_decision,/art-design/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy art/design archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-004,legacy_section_archive,Product/content,medium,needs_product_decision,/art/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy art archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-005,legacy_section_archive,Product/content,medium,needs_product_decision,/blog-newspaper/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy blog/newspaper archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-006,legacy_section_archive,Product/content,medium,needs_product_decision,/film/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy film archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-007,legacy_section_archive,Product/content,medium,needs_product_decision,/journal/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy journal archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-008,legacy_section_archive,Product/content,medium,needs_product_decision,/lifestyle/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy lifestyle archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-009,legacy_section_archive,Product/content,medium,needs_product_decision,/literature/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy literature archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-010,legacy_section_archive,Product/content,medium,needs_product_decision,/literature/short-stories/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy nested short stories archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-011,legacy_section_archive,Product/content,medium,needs_product_decision,/music/,/music,Decide whether to rebuild a public music archive or redirect to the closest React culture/music surface.,Legacy music archive needs a React music/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-012,legacy_section_archive,Product/content,medium,needs_product_decision,/opinion/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy opinion archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-013,legacy_section_archive,Product/content,medium,needs_product_decision,/plan/,/magazine,"Decide whether this old product/editorial route should be rebuilt, redirected to magazine, or intentionally retired.","Legacy plan route needs product decision: rebuild, redirect, or retire. Target route was not found in current React prerender output.",reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-014,legacy_section_archive,Product/content,medium,needs_product_decision,/plan/archive/,/magazine,"Decide whether this old product/editorial route should be rebuilt, redirected to magazine, or intentionally retired.","Legacy plan archive needs product decision: rebuild, redirect, or retire. Target route was not found in current React prerender output.",reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-015,legacy_section_archive,Product/content,medium,needs_product_decision,/science-and-technology/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy science and technology archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-016,legacy_section_archive,Product/content,medium,needs_product_decision,/short-stories/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy short stories archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
SECTION-017,legacy_section_archive,Product/content,medium,needs_product_decision,/sports/,/magazine,"Decide whether to rebuild this section archive, redirect to /magazine with a future section filter, or intentionally retire it.",Legacy sports archive needs a React section/archive destination or retirement decision. Target route was not found in current React prerender output.,reports/wordpress-remaining-blocker-cutover-policy.json,
WOO-001,woocommerce_route,Product/business,high,needs_product_decision,/cart/,/cart,"Decide whether to retire WooCommerce, rebuild commerce, redirect to a non-commerce destination, or preserve a legacy store path. Do not redirect blindly.","Legacy WooCommerce route. Decide whether to retire, rebuild, redirect to a non-commerce page, or preserve a legacy store path.",reports/wordpress-remaining-blocker-cutover-policy.json,
WOO-002,woocommerce_route,Product/business,high,needs_product_decision,/checkout/,/checkout,"Decide whether to retire WooCommerce, rebuild commerce, redirect to a non-commerce destination, or preserve a legacy store path. Do not redirect blindly.","Legacy WooCommerce route. Decide whether to retire, rebuild, redirect to a non-commerce page, or preserve a legacy store path.",reports/wordpress-remaining-blocker-cutover-policy.json,
CHART-RUNTIME-001,chart_runtime_route,QA/product,low,preview_smoke_passed_browser_qa_needed,/charts/top-100/ke/2026-01-26/,/charts/top-100/ke/2026-01-26,Run browser QA for chart data rendering on preview/cutover origin. HTML shell smoke has passed.,"Chart route is likely handled by React runtime routing, but needs deployment-preview smoke testing before cutover.",reports/wordpress-react-preview-smoke-report.json,Preview smoke passed with status 200.
CHART-RUNTIME-002,chart_runtime_route,QA/product,low,preview_smoke_passed_browser_qa_needed,/charts/top-gengetone/ke/2026-01-26/,/charts/top-gengetone/ke/2026-01-26,Run browser QA for chart data rendering on preview/cutover origin. HTML shell smoke has passed.,"Chart route is likely handled by React runtime routing, but needs deployment-preview smoke testing before cutover.",reports/wordpress-react-preview-smoke-report.json,Preview smoke passed with status 200.
CHART-RUNTIME-003,chart_runtime_route,QA/product,low,preview_smoke_passed_browser_qa_needed,/charts/top-rnb/ke/2026-01-26/,/charts/top-rnb/ke/2026-01-26,Run browser QA for chart data rendering on preview/cutover origin. HTML shell smoke has passed.,"Chart route is likely handled by React runtime routing, but needs deployment-preview smoke testing before cutover.",reports/wordpress-react-preview-smoke-report.json,Preview smoke passed with status 200.
