id,sourceGroup,source,proposedTarget,resolution,finalTarget,status,cutoverAction,risk,ownerBucket,reason
AUTHOR-019,author_archive,/author/vicmuia/,/authors/vicmuia,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-020,author_archive,/author/wakilishaji/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-021,author_archive,/author/wakilishaji/page/2/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-022,author_archive,/author/wakilishaji/page/3/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-023,author_archive,/author/wakilishaji/page/4/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-024,author_archive,/author/wakilishaji/page/5/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-025,author_archive,/author/wakilishaji/page/6/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-026,author_archive,/author/wakilishaji/page/7/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-027,author_archive,/author/wakilishaji/page/8/,/authors/wakilishaji,redirect_to_magazine,/magazine,302,Collapse old paginated author archive to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
AUTHOR-028,author_archive,/author/wangari/,/authors/wangari,redirect_to_magazine,/magazine,302,Retire old WordPress author archive and redirect to /magazine.,medium,Content/SEO,WordPress username slugs are not confirmed React author slugs. /magazine is safer than fake /authors/<slug> routes.
STATIC-MANUAL-029,static_route,/corrections/,/corrections,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
STATIC-MANUAL-030,static_route,/events/,/events,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
STATIC-MANUAL-031,static_route,/faq/,/faq,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
STATIC-MANUAL-032,static_route,/methodology/,/methodology,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
STATIC-MANUAL-033,static_route,/news-resources/,/magazine,redirect_to_magazine,/magazine,302,Redirect legacy news/resources page to /magazine.,low,Product,Magazine is the closest current React destination.
STATIC-MANUAL-034,static_route,/venues/,/venues,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
AUTH-PRODUCT-001,account_or_user_route,/account/,/account,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
AUTH-PRODUCT-002,account_or_user_route,/my-account/,/account,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
AUTH-PRODUCT-003,account_or_user_route,/my-library/,/library,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
AUTH-PRODUCT-004,account_or_user_route,/my-top-10/,/my-top-10,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
AUTH-PRODUCT-005,account_or_user_route,/order-tracking/,/account,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
AUTH-PRODUCT-006,account_or_user_route,/settings/,/settings,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
MISSING-ARTICLE-001,legacy_article_missing_react_route,/claim-your-name/,/magazine/claim-your-name,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
SECTION-002,legacy_section_archive,/album-reviews/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-003,legacy_section_archive,/art-design/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-004,legacy_section_archive,/art/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-005,legacy_section_archive,/blog-newspaper/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-006,legacy_section_archive,/film/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-007,legacy_section_archive,/journal/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-008,legacy_section_archive,/lifestyle/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-009,legacy_section_archive,/literature/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-010,legacy_section_archive,/literature/short-stories/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-011,legacy_section_archive,/music/,/music,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
SECTION-012,legacy_section_archive,/opinion/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-013,legacy_section_archive,/plan/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-014,legacy_section_archive,/plan/archive/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-015,legacy_section_archive,/science-and-technology/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-016,legacy_section_archive,/short-stories/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
SECTION-017,legacy_section_archive,/sports/,/magazine,redirect_to_magazine,/magazine,302,Redirect old WordPress section archive to the React magazine landing page.,medium,Product/content,Legacy section archives do not need content migration. React/Supabase is the source of truth; /magazine is the safe public landing page.
WOO-001,woocommerce_route,/cart/,/cart,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
WOO-002,woocommerce_route,/checkout/,/checkout,decommissioned_no_preserve,,,Do not preserve this old WordPress route. Required surfaces have been rebuilt or intentionally retired in React.,low,product_decision_locked,Product decision locked: old WordPress page is no longer needed and should not block cutover.
CHART-RUNTIME-001,chart_runtime_route,/charts/top-100/ke/2026-01-26/,/charts/top-100/ke/2026-01-26,redirect_to_charts,/charts,302,Redirect old dated WordPress chart URL to the React charts landing page.,low,QA/product,Old dated WordPress chart pages do not need preservation. React charts are the source of truth.
CHART-RUNTIME-002,chart_runtime_route,/charts/top-gengetone/ke/2026-01-26/,/charts/top-gengetone/ke/2026-01-26,redirect_to_charts,/charts,302,Redirect old dated WordPress chart URL to the React charts landing page.,low,QA/product,Old dated WordPress chart pages do not need preservation. React charts are the source of truth.
CHART-RUNTIME-003,chart_runtime_route,/charts/top-rnb/ke/2026-01-26/,/charts/top-rnb/ke/2026-01-26,redirect_to_charts,/charts,302,Redirect old dated WordPress chart URL to the React charts landing page.,low,QA/product,Old dated WordPress chart pages do not need preservation. React charts are the source of truth.
